secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
59,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
60,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
61,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
62,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
63,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
64,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
65,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
66,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
67,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
68,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
69,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
70,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
71,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
72,0,0,0.00396,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
73,0,0,0.00447,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
74,5,0,0.00473,0,0,68,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
75,20,0,0.00507,0,0,68,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
76,5,0,0.00508,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
77,0,0,0.00508,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
78,0,0,0.00508,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
79,0,0,0.00508,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
80,0,0,0.00508,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
81,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
82,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
83,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
84,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
85,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
86,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
87,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
88,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
89,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
90,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
91,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
92,0,0,0.0051,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
93,0,0,0.00514,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
94,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
95,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
96,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
97,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
98,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
99,0,0,0.00528,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
100,0,0,0.00528,0,0,0,40.2,144.413,-37.8878,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
101,0,0,0.00528,0,0,0,40.2,144.413,-37.8878,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
102,0,0,0.00555,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
103,0,0,0.00607,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
104,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
105,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
106,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
107,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
108,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
109,0,0,0.00643,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
110,0,0,0.00645,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
111,0,0,0.00675,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
112,0,0,0.00861,1.854,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
113,29,0,0.01117,2.5164,0,283,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
114,33,0,0.0142,3.4452,0,203,40.2,144.413,-37.8877,0,2.66454e-16,25,0,43,0,0,0,0,0,0,0,0
115,33,0,0.01767,4.4496,0,203,40.2,144.413,-37.8876,0,2.66454e-16,25,0,43,0,0,0,0,0,0,0,0
116,36,0,0.02089,5.0796,0,191,40.2,144.413,-37.8876,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
117,42,0,0.02494,5.9544,0,270,40.2,144.413,-37.8876,0,2.66454e-16,25,0,51,0,0,0,0,0,0,0,0
118,42,0,0.02988,8.6904,0,238,40.2,144.413,-37.8875,0,2.66454e-16,25,0,52,0,0,0,0,0,0,0,0
119,47,0,0.03572,12.42,0,221,40.2,144.413,-37.8875,0,2.66454e-16,25,0,53,0,0,0,0,0,0,0,0
120,47,0,0.04177,15.1488,0,255,40.2,144.413,-37.8874,0,2.66454e-16,25,0,52,0,0,0,0,0,0,0,0
121,53,0,0.04829,17.046,0,268,40.2,144.413,-37.8874,0,2.66454e-16,25,0,50,0,0,0,0,0,0,0,0
122,55,0,0.05531,18.9252,0,247,40.2,144.413,-37.8873,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
123,55,0,0.06288,20.5488,0,247,40.2,144.413,-37.8872,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
124,56,0,0.07046,22.2084,0,209,40.2,144.413,-37.8872,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
125,61,0,0.0783,23.0904,0,186,40.2,144.413,-37.8871,0,2.66454e-16,25,0,47,0,0,0,0,0,0,0,0
126,62,0,0.08512,23.1084,0,176,40.2,144.413,-37.887,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
127,65,0,0.09232,23.0148,0,158,40.2,144.413,-37.887,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
128,65,0,0.09938,23.5692,0,158,40.2,144.413,-37.8869,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
129,67,0,0.107,24.1524,0,149,40.2,144.413,-37.8868,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
130,68,0,0.11377,23.6124,0,173,40.2,144.413,-37.8868,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
131,68,0,0.1208,23.9112,0,137,40.2,144.413,-37.8867,0,2.66454e-16,25,0,50,0,0,0,0,0,0,0,0
132,70,0,0.1282,24.7428,0,125,40.2,144.413,-37.8867,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
133,70,0,0.13614,25.4808,0,125,40.2,144.413,-37.8866,0,2.66454e-16,25,0,49,0,0,0,0,0,0,0,0
134,70,0,0.14377,25.506,0,130,40.2,144.413,-37.8865,0,2.66454e-16,25,0,51,0,0,0,0,0,0,0,0
135,71,0,0.15185,26.1936,0,128,40.2,144.413,-37.8864,0,2.66454e-16,25,0,50,0,0,0,0,0,0,0,0
136,72,0,0.15983,26.7372,0,121,40.2,144.413,-37.8864,0,2.66454e-16,25,0,50,0,0,0,0,0,0,0,0
137,74,0,0.1679,27.054,0,119,40.2,144.413,-37.8863,0,2.66454e-16,25,0,50,0,0,0,0,0,0,0,0
138,74,0,0.17615,27.3744,0,121,40.2,144.413,-37.8862,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
139,74,0,0.18385,26.892,0,111,40.2,144.413,-37.8862,0,2.66454e-16,25,0,48,0,0,0,0,0,0,0,0
